Platform,Content_Type,Category,Follower_Count,Hour_of_Day,Day_of_Week,Hashtag_Count,Content_Length,Sentiment,Has_Media,Is_Verified,Score
Twitter,Retweet,Food,362061,3,Thursday,17,1518,Positive,True,False,0.5695472491996729
LinkedIn,Document,Fashion,454140,3,Thursday,5,180,Neutral,True,False,0.35226718328557255
Instagram,Reel,Fitness,260376,11,Thursday,7,280,Positive,True,False,0.41960860352693796
LinkedIn,Document,Food,68792,12,Thursday,19,250,Positive,True,False,0.4338348952915517
TikTok,Duet,Health,445662,16,Thursday,17,435,Positive,True,False,0.9321827158805683
Instagram,Reel,Fashion,173630,1,Friday,12,373,Positive,True,False,0.25049673934628836
Facebook,Story,Sports,281835,4,Friday,26,1517,Positive,False,False,0.4109226955344849
Instagram,Story,Fashion,284847,7,Friday,10,1219,Neutral,True,False,0.5090347764269181
YouTube,Live,Technology,178753,8,Friday,23,572,Positive,True,False,0.8634373905313468
Facebook,Video,Fitness,398368,12,Friday,24,183,Neutral,False,False,0.31914235211736264
LinkedIn,Poll,Fashion,364182,13,Friday,29,508,Positive,True,False,0.22419162622785863
Instagram,Reel,Sports,456550,16,Friday,18,331,Neutral,True,False,0.2846844267359837
TikTok,Video,Health,196151,17,Friday,9,50,Positive,True,True,0.78463920233696
Facebook,Live,Business,330523,17,Friday,10,479,Neutral,True,False,0.4596334678035729
Instagram,Story,Gaming,48397,18,Friday,6,1000,Positive,True,False,0.3425988081548397
Instagram,Story,Entertainment,16479,22,Friday,7,595,Positive,True,False,0.5094765914697011
Twitter,Poll,Fashion,417217,23,Friday,18,1937,Positive,True,False,0.5782639843375544
Instagram,Carousel,Food,60057,0,Saturday,0,968,Positive,False,True,0.3750847247411969
Instagram,Reel,Entertainment,132555,15,Saturday,10,457,Negative,True,False,0.5024590484783776
YouTube,Community Post,Sports,468350,22,Saturday,23,1514,Negative,True,False,0.7897534624457336
LinkedIn,Document,Food,85081,22,Saturday,27,1037,Neutral,True,False,0.33854007753074256
LinkedIn,Article,Lifestyle,123411,4,Sunday,12,186,Positive,False,True,0.20400192205101395
YouTube,Live,Education,498218,4,Sunday,29,68,Neutral,True,True,0.7633693444475426
Twitter,Tweet,Food,71305,13,Sunday,2,458,Neutral,True,False,0.5530575745859834
TikTok,Stitch,Travel,433699,14,Sunday,16,113,Neutral,True,True,0.9378217683074489
Facebook,Video,Lifestyle,264710,16,Sunday,28,391,Neutral,False,False,0.2762758078619226
Instagram,Reel,Travel,484126,0,Monday,13,586,Positive,True,False,0.4910989285085653
TikTok,Duet,Fashion,152067,1,Monday,8,237,Positive,False,False,0.8767563980552269
Instagram,Carousel,Food,471522,1,Monday,3,264,Positive,True,False,0.3423559539225663
Twitter,Retweet,Sports,153334,2,Monday,16,997,Positive,True,False,0.5272907157163899
Twitter,Poll,Sports,360646,5,Monday,28,624,Negative,True,False,0.5871827696433279
LinkedIn,Document,Travel,264526,11,Monday,22,170,Positive,False,True,0.06922059153827735
Instagram,Reel,Fitness,323968,11,Monday,23,212,Positive,True,False,0.331803705740291
Instagram,Reel,Fashion,399129,14,Monday,19,536,Neutral,True,True,0.1843685636200564
Twitter,Thread,Fashion,45072,15,Monday,21,418,Positive,True,False,0.4164088336251811
Facebook,Video,Sports,426728,18,Monday,21,498,Positive,True,False,0.44999876420593016
Instagram,Story,Sports,312419,8,Tuesday,6,203,Neutral,True,True,0.26176367374518056
Twitter,Tweet,Travel,149367,9,Tuesday,5,1053,Neutral,True,False,0.46749491076993066
TikTok,Video,Fashion,275298,14,Tuesday,9,323,Positive,True,True,0.8418977821954002
TikTok,Stitch,Lifestyle,357489,22,Tuesday,5,319,Negative,True,False,0.9626331577034005
Instagram,Reel,Entertainment,199235,3,Wednesday,6,428,Positive,True,False,0.4547224421808508
YouTube,Video,Business,395525,4,Wednesday,12,511,Neutral,True,False,0.8363547938940878
LinkedIn,Post,Lifestyle,158954,4,Wednesday,12,382,Neutral,False,True,0.4080457384855153
LinkedIn,Document,Travel,388891,9,Wednesday,26,1630,Positive,False,True,0.34991103266422
Facebook,Post,Education,315456,10,Wednesday,25,409,Positive,True,False,0.4046272679631306
Facebook,Live,Fashion,424468,18,Wednesday,18,198,Positive,True,False,0.33020688020498884
Instagram,Photo,Business,8652,20,Wednesday,24,1952,Positive,True,False,0.4650845867534926
Instagram,Carousel,Technology,365636,23,Wednesday,7,1352,Negative,True,True,0.4657328319799305
Twitter,Tweet,Fashion,346702,4,Thursday,27,1933,Positive,True,False,0.3657647045430829
Twitter,Poll,Fitness,145079,4,Thursday,26,818,Neutral,True,True,0.4159334444902057
Instagram,Carousel,Health,431738,6,Thursday,28,447,Positive,False,False,0.4007949774574322
Facebook,Video,Sports,214589,8,Thursday,26,592,Positive,True,False,0.43253658422664193
TikTok,Stitch,Lifestyle,22893,16,Thursday,17,382,Negative,True,False,0.7642153116411028
LinkedIn,Article,Sports,190184,16,Thursday,27,1767,Neutral,True,True,0.15643904022374858
Instagram,Story,Fitness,195923,23,Thursday,23,904,Neutral,False,True,0.3816046707073855
YouTube,Video,Business,162364,1,Friday,3,457,Neutral,True,False,0.814792089385588
Twitter,Poll,Gaming,338606,10,Friday,4,205,Positive,True,False,0.44744371479837336
Facebook,Live,Entertainment,432926,10,Friday,10,134,Neutral,True,False,0.45710848668391735
Twitter,Retweet,Education,310876,15,Friday,12,252,Neutral,True,False,0.6193457985574837
TikTok,Duet,Travel,270746,16,Friday,22,139,Positive,True,False,0.7459881413034939
Twitter,Thread,Health,463143,23,Friday,17,340,Neutral,False,False,0.6238552215311238
Twitter,Poll,Fitness,274528,2,Saturday,7,1120,Positive,True,False,0.3147895476346253
TikTok,Duet,Sports,42793,3,Saturday,28,316,Positive,False,False,0.759908228904603
TikTok,Duet,Education,109593,9,Saturday,16,142,Positive,True,False,0.8790443208995603
Facebook,Story,Gaming,115598,11,Saturday,14,550,Positive,False,False,0.507534424515484
Facebook,Story,Sports,467422,17,Saturday,9,1007,Positive,True,False,0.35380707386299404
Instagram,Carousel,Entertainment,179439,18,Saturday,3,1833,Positive,True,False,0.39164048811658986
TikTok,Stitch,Lifestyle,186045,5,Sunday,3,472,Neutral,True,True,0.7485007509868519
Instagram,Story,Entertainment,489595,5,Sunday,25,439,Positive,False,False,0.4955515113082944
TikTok,Stitch,Sports,213011,9,Sunday,1,128,Positive,True,False,0.7749871858824033
YouTube,Community Post,Lifestyle,187704,13,Sunday,28,951,Neutral,True,False,0.7356955816906798
Instagram,Photo,Fashion,439089,19,Sunday,19,1243,Neutral,True,False,0.4275391368561807
Twitter,Tweet,Food,95247,19,Sunday,16,823,Positive,True,False,0.4945381568333827
Instagram,Story,Fashion,168975,22,Sunday,0,762,Neutral,True,False,0.4061759677736282
Twitter,Poll,Sports,369081,6,Monday,10,1995,Positive,True,True,0.323944343258049
YouTube,Video,Lifestyle,159814,10,Monday,4,162,Positive,False,True,0.903197690419004
Facebook,Video,Fashion,372943,10,Monday,16,61,Positive,True,False,0.5260558186843984
YouTube,Live,Sports,454425,14,Monday,9,405,Positive,True,True,0.8024959749099977
Instagram,Carousel,Lifestyle,440143,15,Monday,6,1293,Positive,True,False,0.481447282256936
Facebook,Live,Fashion,405761,15,Monday,20,218,Neutral,True,True,0.6066934244578209
LinkedIn,Document,Fashion,380564,20,Monday,14,1144,Negative,True,False,0.2780709094068661
Facebook,Video,Fitness,277192,0,Tuesday,20,132,Positive,True,False,0.5480887809720487
Facebook,Live,Fashion,342664,2,Tuesday,22,472,Positive,True,False,0.6205733728393599
Twitter,Retweet,Food,393625,5,Tuesday,15,277,Neutral,True,False,0.635709905940861
TikTok,Video,Travel,137345,6,Tuesday,20,221,Negative,True,False,0.9403529106106471
Twitter,Tweet,Sports,238555,10,Tuesday,9,490,Positive,True,False,0.5250403588920641
Twitter,Thread,Sports,121618,10,Tuesday,9,139,Positive,False,False,0.5717247340938608
TikTok,Duet,Entertainment,403502,11,Tuesday,17,362,Negative,True,True,0.7611298674063587
Twitter,Thread,Sports,363807,21,Tuesday,18,1903,Neutral,True,False,0.5246793837939092
Facebook,Post,Sports,107195,6,Wednesday,16,770,Positive,True,False,0.43313261911917617
Twitter,Poll,Food,275215,7,Wednesday,22,1105,Neutral,True,False,0.45312711570895603
Facebook,Post,Gaming,339881,10,Wednesday,19,1839,Positive,True,False,0.6042165290568409
Instagram,Story,Health,123271,15,Wednesday,25,716,Positive,True,True,0.5348222097396073
LinkedIn,Poll,Travel,452595,15,Wednesday,13,1536,Positive,False,True,0.24101165044671594
Instagram,Reel,Food,244556,17,Wednesday,8,385,Neutral,True,False,0.4899245065982325
Instagram,Reel,Health,308567,20,Wednesday,9,585,Neutral,True,False,0.46610369820493697
Facebook,Story,Business,211144,8,Thursday,20,1462,Neutral,True,False,0.4742168911205839
Instagram,Reel,Gaming,235917,12,Thursday,16,360,Neutral,True,False,0.5150043883438418
YouTube,Community Post,Business,174247,13,Thursday,13,142,Positive,False,False,0.8843388814036757
Facebook,Post,Business,62923,14,Thursday,14,1324,Neutral,True,True,0.5064647309612677
Facebook,Video,Lifestyle,130705,16,Thursday,10,372,Positive,True,False,0.5394575262902032
YouTube,Short,Fashion,193993,0,Friday,27,93,Neutral,True,False,0.714009431820478
TikTok,Video,Entertainment,311889,6,Friday,0,237,Neutral,True,False,0.9235312597262266
Twitter,Retweet,Entertainment,203833,8,Friday,17,1450,Neutral,True,False,0.4379889039618993
Instagram,Carousel,Health,399621,8,Friday,10,1594,Positive,True,False,0.5635913512234781
Instagram,Carousel,Lifestyle,258681,15,Friday,28,667,Positive,True,False,0.3841034582361911
Instagram,Reel,Entertainment,75943,16,Friday,20,382,Positive,True,True,0.42744541083107
TikTok,Duet,Education,343601,2,Saturday,15,469,Neutral,True,False,0.7844125326998532
Instagram,Carousel,Fashion,235732,9,Saturday,17,231,Positive,False,False,0.32770111855793976
LinkedIn,Post,Sports,52878,12,Saturday,27,1240,Positive,True,False,0.4354286218308551
Facebook,Post,Fashion,116965,15,Saturday,28,479,Positive,True,False,0.4580980401147221
TikTok,Video,Entertainment,238116,16,Saturday,25,241,Positive,True,False,0.7082636391999492
Twitter,Thread,Fitness,423887,20,Saturday,5,857,Positive,True,False,0.4167295569035813
YouTube,Community Post,Technology,432910,2,Sunday,20,1270,Positive,True,False,0.9238932762817231
Instagram,Carousel,Sports,126662,2,Sunday,0,136,Negative,True,False,0.4216091811765812
Instagram,Story,Sports,8497,6,Sunday,13,1219,Positive,True,False,0.5264446007326311
YouTube,Live,Entertainment,349145,9,Sunday,0,510,Positive,True,False,0.5552572986704627
Facebook,Live,Gaming,128768,9,Sunday,7,513,Neutral,True,True,0.4949051141463933
LinkedIn,Post,Education,337015,10,Sunday,27,1004,Neutral,True,False,0.3617393341868147
Twitter,Poll,Food,465993,11,Sunday,14,1311,Positive,True,False,0.4134126680403827
LinkedIn,Poll,Food,15474,15,Sunday,19,1987,Negative,True,False,0.2015628266900858
Instagram,Reel,Health,138665,15,Sunday,13,337,Neutral,True,False,0.40266479143029255
Instagram,Carousel,Business,426722,17,Sunday,19,78,Positive,True,True,0.5418972628957419
YouTube,Short,Education,463297,23,Sunday,6,264,Neutral,False,False,0.6486360216224955
LinkedIn,Document,Travel,395969,0,Monday,22,1119,Positive,True,True,0.3033323605403262
YouTube,Community Post,Entertainment,373077,2,Monday,20,559,Neutral,True,False,0.7386558717103509
Instagram,Reel,Education,355567,3,Monday,7,72,Neutral,True,False,0.479919064749781
TikTok,Stitch,Travel,422708,5,Monday,14,18,Negative,True,False,0.7685054482690448
Instagram,Photo,Lifestyle,69631,10,Monday,0,1064,Negative,True,False,0.44767941332361805
YouTube,Community Post,Fitness,442982,13,Monday,2,1533,Neutral,True,True,0.9171242734607725
Facebook,Post,Health,130718,14,Monday,25,789,Positive,True,True,0.5682477793813501
YouTube,Community Post,Gaming,388827,16,Monday,8,619,Positive,True,True,0.7998193934563119
Twitter,Tweet,Travel,233014,16,Monday,4,826,Neutral,False,False,0.5160949799130008
Facebook,Story,Sports,387226,20,Monday,24,211,Positive,True,True,0.5983330121445006
YouTube,Community Post,Food,93892,22,Monday,2,446,Positive,True,False,0.8865862233385836
Instagram,Reel,Fashion,89854,22,Monday,21,365,Positive,True,False,0.3443000741822032
Facebook,Story,Lifestyle,43816,3,Tuesday,15,1316,Positive,True,False,0.3873690232774666
Facebook,Video,Fashion,246009,3,Tuesday,2,219,Neutral,False,False,0.5173573919922667
YouTube,Live,Entertainment,343628,4,Tuesday,6,51,Positive,True,False,0.7211114511856931
Twitter,Thread,Sports,125217,7,Tuesday,29,1358,Neutral,True,False,0.5843474026748431
Instagram,Photo,Food,479650,16,Tuesday,21,1154,Positive,True,False,0.3862993241251336
Facebook,Story,Business,175928,21,Tuesday,6,1215,Positive,False,True,0.4793588393745861
YouTube,Community Post,Business,52984,21,Tuesday,29,364,Positive,False,True,0.8204866756104124
LinkedIn,Article,Fitness,387982,22,Tuesday,26,1993,Positive,True,False,0.3989299138760336
Twitter,Poll,Sports,402702,0,Wednesday,7,1008,Positive,False,False,0.5735588196287731
Twitter,Poll,Health,418550,4,Wednesday,17,1345,Positive,True,False,0.44477878814218336
Facebook,Post,Health,46424,6,Wednesday,19,152,Negative,True,False,0.27467335008605376
Twitter,Poll,Gaming,268134,7,Wednesday,2,1089,Positive,True,False,0.5063337078482836
YouTube,Live,Health,220153,9,Wednesday,7,588,Neutral,True,True,0.8502369475899026
LinkedIn,Post,Lifestyle,92710,18,Wednesday,19,1132,Positive,True,False,0.2964290531398317
TikTok,Video,Education,103316,18,Wednesday,14,306,Positive,True,True,0.9515717368077599
Twitter,Poll,Sports,172707,20,Wednesday,5,835,Neutral,True,False,0.34599499837688474
TikTok,Video,Fashion,347611,22,Wednesday,24,483,Positive,True,True,0.7883465636635681
LinkedIn,Article,Entertainment,424158,23,Wednesday,29,623,Neutral,True,True,0.39655837903241076
YouTube,Video,Education,488018,1,Thursday,25,341,Positive,True,True,0.8555833187035029
Facebook,Video,Fitness,410078,3,Thursday,1,463,Neutral,True,True,0.55449615924903
TikTok,Stitch,Lifestyle,201379,3,Thursday,12,64,Positive,True,True,0.663864442126797
TikTok,Stitch,Technology,58675,7,Thursday,8,74,Neutral,True,False,0.790781975003269
LinkedIn,Document,Fashion,399892,11,Thursday,8,1489,Neutral,True,False,0.3071853406726302
Facebook,Video,Health,201575,15,Thursday,18,446,Positive,True,False,0.5154487791176219
TikTok,Duet,Health,472288,22,Thursday,8,181,Neutral,True,False,0.9210867558870555
Twitter,Retweet,Fitness,317572,23,Thursday,19,192,Positive,False,False,0.4615631335429576
Facebook,Video,Entertainment,248741,15,Friday,6,247,Neutral,False,True,0.4492481234187256
TikTok,Video,Travel,92102,22,Friday,26,579,Positive,True,True,0.7973771872661178
Twitter,Thread,Education,121434,9,Saturday,6,493,Positive,True,True,0.43861672231188986
Facebook,Live,Fashion,12843,11,Saturday,23,463,Negative,True,True,0.3913726917873893
Facebook,Story,Business,52715,11,Saturday,11,1336,Positive,True,False,0.5078162464128964
Twitter,Tweet,Fitness,458907,13,Saturday,26,1458,Negative,True,False,0.5374980537055992
Facebook,Story,Gaming,285509,14,Saturday,16,201,Positive,True,True,0.4047119469340334
Twitter,Tweet,Gaming,78068,2,Sunday,8,1788,Neutral,False,False,0.5809519140096324
Twitter,Retweet,Technology,91133,4,Sunday,19,889,Positive,True,False,0.41036994167410595
YouTube,Live,Lifestyle,229045,8,Sunday,10,201,Positive,True,False,0.6367953467631685
Facebook,Story,Fitness,307310,8,Sunday,18,242,Neutral,True,False,0.4771436938158587
Instagram,Reel,Health,488120,18,Sunday,20,292,Positive,True,False,0.18641585633497437
Instagram,Story,Entertainment,232068,18,Sunday,25,142,Neutral,True,False,0.4125418173873677
YouTube,Video,Lifestyle,413893,20,Sunday,20,598,Positive,True,False,0.7737898357167693
Twitter,Thread,Technology,89091,21,Sunday,28,1549,Positive,True,False,0.5811521124146874
Instagram,Carousel,Food,226592,3,Monday,13,871,Negative,True,False,0.48655714750345547
TikTok,Stitch,Gaming,389209,6,Monday,28,298,Positive,False,False,0.7033030942859847
Twitter,Retweet,Food,143633,6,Monday,21,1192,Negative,True,False,0.4809470858217107
Facebook,Story,Food,485585,9,Monday,25,1583,Neutral,True,False,0.4189878771882224
Twitter,Poll,Health,333804,9,Monday,26,1635,Positive,True,True,0.5365905868720525
Twitter,Thread,Health,220487,13,Monday,17,1194,Positive,True,True,0.45346469317380445
Instagram,Carousel,Entertainment,120145,17,Monday,10,391,Positive,True,False,0.44979912449243886
Facebook,Story,Fashion,441627,19,Monday,20,1497,Neutral,True,False,0.5971329597305808
Instagram,Story,Fitness,158828,20,Monday,14,1451,Neutral,False,False,0.4960709056570992
TikTok,Stitch,Sports,39830,1,Tuesday,25,140,Neutral,True,False,0.6947111402217856
Facebook,Live,Fashion,51919,5,Tuesday,15,107,Neutral,True,False,0.4498427960029989
Facebook,Post,Fitness,236202,6,Tuesday,10,959,Negative,True,True,0.44868815635474485
Facebook,Post,Travel,53769,9,Tuesday,3,1736,Positive,True,False,0.47443250499827505
Twitter,Poll,Technology,408813,10,Tuesday,20,912,Positive,True,True,0.4378520340097141
TikTok,Duet,Travel,424038,11,Tuesday,25,535,Neutral,True,True,0.8595458325215222
Facebook,Live,Lifestyle,300367,19,Tuesday,28,499,Neutral,True,True,0.5066144600360746
TikTok,Stitch,Entertainment,205607,20,Tuesday,16,127,Neutral,True,False,0.92072314110066
LinkedIn,Poll,Technology,267818,0,Wednesday,28,992,Positive,True,False,0.19204719831642467
Instagram,Photo,Lifestyle,263141,9,Wednesday,24,927,Neutral,True,False,0.5080835664480446
Instagram,Photo,Gaming,144831,13,Wednesday,18,318,Positive,True,False,0.32263995302694315
Facebook,Story,Technology,71171,14,Wednesday,14,1975,Neutral,True,True,0.47154409093858074
Facebook,Story,Health,353164,23,Wednesday,16,1829,Negative,True,False,0.5933826483372373
Instagram,Carousel,Fashion,282011,23,Wednesday,2,881,Positive,True,False,0.4544037975586988
Instagram,Reel,Health,373708,23,Wednesday,28,99,Negative,True,False,0.5077936434136009
Facebook,Story,Health,195400,21,Thursday,13,139,Neutral,True,False,0.6112708629419625
Instagram,Story,Fitness,368150,22,Thursday,1,1688,Neutral,False,False,0.41189110630018827
Twitter,Tweet,Education,395081,22,Thursday,16,1802,Positive,True,True,0.5818537141108469
YouTube,Short,Business,185651,1,Friday,11,346,Positive,True,False,0.7310452001634703
Instagram,Story,Food,159534,2,Friday,14,538,Positive,True,False,0.23136912934738535
LinkedIn,Article,Fashion,105203,3,Friday,17,1616,Positive,True,False,0.19006880421554923
Twitter,Thread,Education,464041,9,Friday,10,1897,Positive,True,False,0.5717851461604854
Facebook,Post,Entertainment,372074,12,Friday,13,1308,Positive,False,False,0.54542356915484
Twitter,Thread,Food,398196,13,Friday,24,509,Positive,True,False,0.4817303472639419
TikTok,Stitch,Food,106831,15,Friday,17,78,Positive,True,True,0.8258170421770469
Instagram,Reel,Fitness,280354,19,Friday,11,483,Neutral,True,False,0.49999374225605864
Twitter,Poll,Travel,318958,1,Saturday,15,111,Positive,True,False,0.5811077823328671
TikTok,Stitch,Fashion,467749,2,Saturday,28,174,Positive,True,False,0.7255426096011129
Twitter,Thread,Education,365671,4,Saturday,24,124,Positive,True,False,0.2652805906188921
Facebook,Live,Education,462911,10,Saturday,20,504,Positive,False,True,0.43134152167396644
Twitter,Retweet,Sports,209790,12,Saturday,11,1725,Negative,True,False,0.6188911352374092
Twitter,Retweet,Health,397113,14,Saturday,17,1096,Positive,True,False,0.5174997235683835
Instagram,Story,Travel,486602,17,Saturday,2,1108,Positive,True,True,0.2715580697397485
Facebook,Live,Health,362667,18,Saturday,8,454,Positive,True,True,0.42863407555377453
Instagram,Carousel,Gaming,482956,19,Saturday,28,664,Positive,True,False,0.5395517097736012
Twitter,Thread,Gaming,222604,20,Saturday,26,97,Positive,True,False,0.4961959859856885
Facebook,Video,Entertainment,335303,20,Saturday,24,443,Neutral,True,False,0.50757414467335
YouTube,Video,Lifestyle,27789,0,Sunday,24,188,Neutral,True,True,0.9075461469256948
Instagram,Photo,Gaming,492396,5,Sunday,5,1455,Neutral,True,False,0.42542292255800707
LinkedIn,Post,Food,229565,10,Sunday,17,1743,Neutral,True,True,0.32334572393110944
TikTok,Video,Travel,272130,10,Sunday,24,306,Neutral,True,True,0.9182362335081538
Instagram,Carousel,Fashion,438354,15,Sunday,0,604,Neutral,True,False,0.581603879533501
Instagram,Photo,Sports,437772,16,Sunday,24,1761,Positive,True,False,0.31065875008976723
Instagram,Story,Education,195994,19,Sunday,17,1413,Positive,True,False,0.409038903323077
Instagram,Story,Sports,387295,4,Monday,11,264,Positive,True,False,0.3436743347857575
Facebook,Post,Business,276863,22,Monday,8,1039,Neutral,True,True,0.45376146724315397
Instagram,Story,Technology,436810,6,Tuesday,13,1763,Negative,True,True,0.23407323317574255
TikTok,Duet,Education,206685,13,Tuesday,20,129,Neutral,True,True,0.8931670842934992
TikTok,Duet,Education,498323,21,Tuesday,22,550,Positive,True,False,0.8652664413664047
Facebook,Live,Food,346587,6,Wednesday,5,28,Positive,True,True,0.6031218630197277
Facebook,Video,Fashion,479786,6,Wednesday,23,448,Neutral,False,False,0.5735902116083145
Facebook,Video,Fitness,322805,9,Wednesday,21,212,Positive,True,False,0.5271507111863365
TikTok,Video,Sports,262570,20,Wednesday,27,443,Neutral,True,False,0.9055444940734458
Facebook,Post,Fitness,64584,0,Thursday,19,1206,Neutral,True,True,0.47750094170126073
TikTok,Video,Fashion,449333,1,Thursday,13,584,Neutral,True,False,0.8874933057106308
Twitter,Poll,Food,479778,14,Thursday,10,1162,Neutral,True,False,0.5173617668755228
Twitter,Retweet,Food,172738,15,Thursday,2,1619,Positive,True,False,0.48364607836982476
Twitter,Retweet,Food,80127,15,Thursday,2,723,Positive,True,True,0.4847861478890165
Instagram,Photo,Education,70723,22,Thursday,11,301,Negative,True,False,0.4288718656848214
Instagram,Carousel,Health,150525,1,Friday,29,1414,Neutral,True,False,0.5222210847741111
Facebook,Story,Sports,336760,7,Friday,23,417,Negative,True,False,0.4520173028573938
Facebook,Post,Fashion,38138,13,Friday,28,273,Positive,True,True,0.4588754639410154
Instagram,Carousel,Travel,98831,21,Friday,29,1167,Positive,True,False,0.4817738311269689
Twitter,Poll,Travel,299088,1,Saturday,11,975,Positive,True,False,0.5548242975223532
YouTube,Community Post,Fashion,221193,3,Saturday,1,1125,Neutral,True,True,0.8562852553143396
Instagram,Reel,Food,148077,6,Saturday,0,267,Positive,False,False,0.3645172585730777
Instagram,Reel,Lifestyle,218790,8,Saturday,13,104,Positive,True,False,0.5046060428522714
TikTok,Duet,Fashion,286913,11,Saturday,21,107,Positive,True,False,0.7826840130393312
Instagram,Photo,Business,481081,15,Saturday,7,1111,Positive,True,False,0.5447920094311008
Facebook,Post,Education,334650,17,Saturday,8,1008,Positive,True,False,0.49450969443252435
Facebook,Post,Fashion,231388,21,Saturday,28,1937,Positive,True,False,0.5448618257017103
Instagram,Photo,Health,256342,0,Sunday,18,824,Neutral,False,False,0.5473311738526119
YouTube,Video,Fashion,175898,3,Sunday,10,147,Neutral,True,True,0.8113048060392104
Twitter,Poll,Education,326232,7,Sunday,7,1046,Positive,True,False,0.5537565655671646
Instagram,Story,Travel,23802,16,Sunday,1,522,Positive,False,False,0.47968472188486766
Instagram,Carousel,Business,369777,17,Sunday,19,475,Positive,False,True,0.3873408092311204
Twitter,Tweet,Technology,418503,17,Sunday,28,835,Neutral,True,False,0.5382947743581843
Instagram,Reel,Fashion,9710,19,Sunday,10,239,Neutral,True,False,0.44887711029670474
Instagram,Photo,Gaming,228122,2,Monday,24,1116,Negative,True,False,0.40300136140284015
Facebook,Post,Business,384048,8,Monday,3,1675,Negative,True,False,0.4580855866364662
Facebook,Story,Fitness,256096,8,Monday,10,612,Positive,True,False,0.47659249136631865
Facebook,Live,Technology,465010,11,Monday,12,419,Neutral,True,False,0.47518876921205555
YouTube,Video,Entertainment,21020,11,Monday,2,576,Positive,True,False,0.8259239906322441
Instagram,Story,Business,458254,13,Monday,4,1947,Negative,True,False,0.33896729519620805
YouTube,Short,Fashion,269762,14,Monday,29,99,Positive,False,True,0.8826399911576877
Twitter,Tweet,Travel,373560,14,Monday,28,660,Positive,True,True,0.5904473068294274
Instagram,Reel,Lifestyle,373506,15,Monday,11,423,Positive,True,False,0.39409659764316524
Facebook,Video,Fashion,409478,17,Monday,27,75,Negative,True,True,0.3080401091957998
Facebook,Post,Business,4928,19,Monday,0,1829,Positive,True,False,0.4637142270889095
TikTok,Stitch,Fitness,479924,23,Monday,17,452,Positive,True,False,0.7484791669463796
TikTok,Duet,Travel,396412,2,Tuesday,17,405,Positive,True,True,0.9017607208077699
Instagram,Story,Entertainment,417524,15,Tuesday,16,1306,Positive,False,True,0.2831357682117573
Twitter,Tweet,Entertainment,124297,16,Tuesday,4,149,Positive,False,False,0.3141242613457698
Facebook,Live,Gaming,111536,18,Tuesday,3,132,Negative,True,True,0.271785168643893
TikTok,Stitch,Business,232380,19,Tuesday,16,17,Neutral,True,False,0.6627870810926856
Instagram,Story,Health,183920,23,Tuesday,14,181,Positive,False,False,0.28710292512444857
TikTok,Stitch,Technology,127080,0,Wednesday,13,547,Positive,True,True,0.9392437344716722
YouTube,Short,Travel,497562,0,Wednesday,1,330,Negative,True,False,0.7288638989482736
Facebook,Story,Business,279923,3,Wednesday,25,1217,Neutral,True,True,0.5788490136295618
LinkedIn,Post,Travel,474463,5,Wednesday,27,1378,Neutral,True,False,0.3819747712314003
Facebook,Story,Education,174388,8,Wednesday,1,1772,Positive,True,False,0.4854832903964032
Instagram,Reel,Health,34250,15,Wednesday,2,597,Neutral,True,False,0.45889484158338184
TikTok,Stitch,Gaming,477861,21,Wednesday,11,112,Neutral,True,False,0.9624093002628834
Twitter,Thread,Food,309059,9,Thursday,15,316,Negative,True,False,0.5806672022303991
TikTok,Video,Fashion,459640,10,Thursday,21,505,Positive,True,False,0.926362869455537
LinkedIn,Poll,Lifestyle,489649,14,Thursday,2,1367,Negative,True,False,0.3953831511510645
TikTok,Stitch,Health,272825,16,Thursday,14,127,Positive,False,False,0.9614352284650832
TikTok,Stitch,Fashion,232601,16,Thursday,5,218,Positive,True,False,0.705618878935091
TikTok,Video,Health,315949,18,Thursday,25,570,Positive,True,False,0.9553802101039847
Twitter,Thread,Gaming,339434,22,Thursday,15,1222,Positive,True,False,0.5036810630051238
LinkedIn,Article,Entertainment,58735,22,Thursday,13,608,Positive,True,False,0.31050784680270704
Facebook,Live,Entertainment,281748,10,Friday,21,584,Positive,True,False,0.6159315850403977
TikTok,Duet,Gaming,245061,17,Friday,27,301,Neutral,True,False,0.8015475348410531
Instagram,Reel,Education,98612,19,Friday,15,26,Positive,True,False,0.40975873920441386
Instagram,Reel,Lifestyle,200379,22,Friday,14,487,Negative,True,False,0.4801750341582826
Twitter,Tweet,Fashion,73630,23,Friday,22,1696,Positive,False,False,0.5155208180281928
Twitter,Tweet,Sports,309780,23,Friday,23,1304,Positive,True,False,0.5501330039508381
Twitter,Thread,Technology,20382,4,Saturday,19,514,Neutral,False,True,0.5884666954696289
Instagram,Reel,Lifestyle,132412,5,Saturday,20,416,Negative,True,False,0.32775681247892546
Instagram,Carousel,Fitness,216896,5,Saturday,2,961,Negative,True,True,0.375218441926401
LinkedIn,Poll,Lifestyle,172454,17,Saturday,10,1032,Neutral,True,False,0.09985510305847492
Instagram,Story,Technology,480969,18,Saturday,5,1676,Positive,True,False,0.4487331144611659
LinkedIn,Post,Gaming,262821,9,Sunday,28,1446,Positive,True,False,0.2557160200798501
Facebook,Video,Fitness,461394,12,Sunday,7,148,Positive,True,False,0.43675598694608725
